name,description,query,id,parentId,isFolder
EAS,,,0,,true
List Projection,,"CALL gds.graph.list()
YIELD graphName, nodeCount, relationshipCount, schema
RETURN graphName, nodeCount, relationshipCount, schema.nodes AS NodeLabels, schema.relationships AS RelTypes",1,0,false
Projection All,,"CALL gds.graph.project(
  'medicalGraph',
  ['Penyakit', 'Gejala', 'Obat', 'Treatment', 'Kategori'], // Semua label
  {
    MEMILIKI_GEJALA: {orientation: 'UNDIRECTED'},
    DIOBATI_DENGAN: {orientation: 'UNDIRECTED'},
    DITREATMENT_DENGAN: {orientation: 'UNDIRECTED'},
    TERMASUK_KATEGORI: {orientation: 'UNDIRECTED'}
  }
)",2,0,false
Projection Penyakit-Gejala,,"CALL gds.graph.project(
  'symptomGraph',         // Nama proyeksi baru
  ['Penyakit', 'Gejala'],    // Hanya label tertentu yang dipilih
  {
    MEMILIKI_GEJALA: {       // Relasi yang menghubungkan kedua label tersebut
      orientation: 'UNDIRECTED'
    }
  }
)",3,0,false
Projection Penyakit-Treatment,,"CALL gds.graph.project(
  'treatmentGraph',
  ['Penyakit', 'Treatment'],
  {
    DITREATMENT_DENGAN: {orientation: 'UNDIRECTED'}
  }
)",4,0,false
Projection Penyakit-Kategori,,"CALL gds.graph.project(
  'categoryGraph',
  ['Penyakit', 'Kategori'],
  {
    TERMASUK_KATEGORI: {orientation: 'UNDIRECTED'}
  }
)",5,0,false
Projection Penyakit-Obat,,"CALL gds.graph.project(
  'medicineGraph',
  ['Penyakit', 'Obat'],
  {
    DIOBATI_DENGAN: {orientation: 'UNDIRECTED'}
  }
)",6,0,false
Projection Obat-Gejala,,"CALL gds.graph.project(
  'medicineSymptomGraph',
  ['Obat', 'Penyakit', 'Gejala'],
  {
    DIOBATI_DENGAN: {orientation: 'UNDIRECTED'},
    MEMILIKI_GEJALA: {orientation: 'UNDIRECTED'}
  }
)",7,0,false
Cara Cek Nama Label,,"MATCH (k:Treatment)
RETURN labels(k) AS label, keys(k) AS properti_yang_ada
LIMIT 1",8,0,false
Cara Drop Projection,,CALL gds.graph.drop('treatmentGraph'),9,0,false
Centrality All,,"CALL gds.betweenness.stream('medicalGraph')
YIELD nodeId, score
WITH gds.util.asNode(nodeId) AS n, score
RETURN 
    labels(n)[0] AS Label,
    coalesce(n.`Property 1`, n.obatLabel, n.kategoriLabel) AS Nama,
    score
ORDER BY score DESC",10,0,false
Centrality Penyakit-All,,"CALL gds.betweenness.stream('medicalGraph')
YIELD nodeId, score
WITH gds.util.asNode(nodeId) AS n, score
WHERE n:Penyakit 
RETURN n.`Property 1` AS Nama_Penyakit, score
ORDER BY score DESC",11,0,false
